step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
145,5.5740,,263.48,,377776,5551.3,5551.3,304087040,828.3,828.3,2.95e-04,0.8655,bf16,125M,64,32,2048,142461696,1
146,5.6213,,276.24,,380338,5513.9,5513.9,306184192,833.8,833.8,2.94e-04,1.0257,bf16,125M,64,32,2048,142461696,1
147,5.6405,,281.59,,377810,5550.8,5550.8,308281344,839.4,839.4,2.94e-04,0.7658,bf16,125M,64,32,2048,142461696,1
148,5.6362,,280.39,,374610,5598.2,5598.2,310378496,845.0,845.0,2.94e-04,1.1051,bf16,125M,64,32,2048,142461696,1
149,5.5666,,261.54,,382168,5487.5,5487.5,312475648,850.5,850.5,2.94e-04,0.7711,bf16,125M,64,32,2048,142461696,1
150,5.6403,,281.55,,379561,5525.2,5525.2,314572800,856.0,856.0,2.94e-04,0.7270,bf16,125M,64,32,2048,142461696,1
151,5.6098,,273.09,,372217,5634.2,5634.2,316669952,861.6,861.6,2.94e-04,0.6759,bf16,125M,64,32,2048,142461696,1
152,5.5282,,251.69,,379438,5527.0,5527.0,318767104,867.2,867.2,2.94e-04,0.5071,bf16,125M,64,32,2048,142461696,1
153,5.4858,,241.24,,374675,5597.3,5597.3,320864256,872.8,872.7,2.94e-04,0.6472,bf16,125M,64,32,2048,142461696,1
154,5.5471,,256.49,,383309,5471.2,5471.2,322961408,878.2,878.2,2.94e-04,0.4611,bf16,125M,64,32,2048,142461696,1
155,5.5023,,245.25,,383654,5466.3,5466.3,325058560,883.7,883.7,2.94e-04,0.4667,bf16,125M,64,32,2048,142461696,1
156,5.4560,,234.16,,376511,5570.0,5570.0,327155712,889.3,889.3,2.93e-04,0.3635,bf16,125M,64,32,2048,142461696,1
157,5.5226,,250.29,,373626,5613.0,5613.0,329252864,894.9,894.9,2.93e-04,0.4508,bf16,125M,64,32,2048,142461696,1
158,5.5166,,248.78,,379121,5531.6,5531.6,331350016,900.4,900.4,2.93e-04,0.5427,bf16,125M,64,32,2048,142461696,1
159,5.5449,,255.94,,384856,5449.2,5449.2,333447168,905.9,905.9,2.93e-04,0.7169,bf16,125M,64,32,2048,142461696,1
160,5.4467,,231.99,,382813,5478.3,5478.3,335544320,911.3,911.3,2.93e-04,0.9641,bf16,125M,64,32,2048,142461696,1
161,5.5077,,246.58,,383432,5469.4,5469.4,337641472,916.8,916.8,2.93e-04,0.7083,bf16,125M,64,32,2048,142461696,1
