step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
125,10.8310,,50566.29,,2914316,179.9,179.9,65536000,55.3,55.3,5.85e-04,0.0404,bf16,125M,32,2,512,143248128,8
126,10.8308,,50553.37,,2909311,180.2,180.2,66060288,55.5,55.5,5.85e-04,0.0399,bf16,125M,32,2,512,143248128,8
127,10.8304,,50532.69,,2871012,182.6,182.6,66584576,55.7,55.7,5.84e-04,0.0401,bf16,125M,32,2,512,143248128,8
128,10.8301,,50519.48,,2909592,180.2,180.2,67108864,55.9,55.9,5.84e-04,0.0399,bf16,125M,32,2,512,143248128,8
129,10.8299,,50506.91,,2888158,181.5,181.5,67633152,56.1,56.1,5.84e-04,0.0399,bf16,125M,32,2,512,143248128,8
130,10.8297,,50498.48,,2909750,180.2,180.2,68157440,56.2,56.2,5.83e-04,0.0399,bf16,125M,32,2,512,143248128,8
131,10.8300,,50515.24,,2894975,181.1,181.1,68681728,56.4,56.4,5.83e-04,0.0401,bf16,125M,32,2,512,143248128,8
132,10.8308,,50554.52,,2887930,181.5,181.5,69206016,56.6,56.6,5.83e-04,0.0404,bf16,125M,32,2,512,143248128,8
133,10.8312,,50575.35,,2857359,183.5,183.5,69730304,56.8,56.8,5.82e-04,0.0404,bf16,125M,32,2,512,143248128,8
134,10.8313,,50580.85,,2883746,181.8,181.8,70254592,57.0,57.0,5.82e-04,0.0406,bf16,125M,32,2,512,143248128,8
135,10.8313,,50580.23,,2886611,181.6,181.6,70778880,57.2,57.2,5.82e-04,0.0401,bf16,125M,32,2,512,143248128,8
136,10.8310,,50562.24,,2899663,180.8,180.8,71303168,57.3,57.3,5.82e-04,0.0406,bf16,125M,32,2,512,143248128,8
137,10.8307,,50548.93,,2899464,180.8,180.8,71827456,57.5,57.5,5.81e-04,0.0404,bf16,125M,32,2,512,143248128,8
138,10.8303,,50528.54,,2898895,180.9,180.9,72351744,57.7,57.7,5.81e-04,0.0402,bf16,125M,32,2,512,143248128,8
