step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
66,10.9225,,55407.49,,66172,990.4,990.4,4325376,145.1,145.1,5.97e-04,0.1990,fp8_tensorwise,1.5B,32,2,64,1564837888,1
67,10.9218,,55367.66,,66012,992.8,992.8,4390912,146.1,146.1,5.97e-04,0.1991,fp8_tensorwise,1.5B,32,2,64,1564837888,1
68,10.9250,,55545.10,,66221,989.7,989.7,4456448,147.1,147.1,5.97e-04,0.2012,fp8_tensorwise,1.5B,32,2,64,1564837888,1
69,10.9219,,55378.57,,66005,992.9,992.9,4521984,148.1,148.1,5.97e-04,0.1983,fp8_tensorwise,1.5B,32,2,64,1564837888,1
70,10.9143,,54956.57,,66144,990.8,990.8,4587520,149.1,149.1,5.97e-04,0.1983,fp8_tensorwise,1.5B,32,2,64,1564837888,1
71,10.9140,,54938.34,,66356,987.6,987.6,4653056,150.1,150.1,5.96e-04,0.1973,fp8_tensorwise,1.5B,32,2,64,1564837888,1
72,10.9086,,54644.00,,66036,992.4,992.4,4718592,151.1,151.1,5.96e-04,0.1953,fp8_tensorwise,1.5B,32,2,64,1564837888,1
73,10.9050,,54446.77,,66438,986.4,986.4,4784128,152.1,152.1,5.96e-04,0.1952,fp8_tensorwise,1.5B,32,2,64,1564837888,1
74,10.8995,,54151.88,,66311,988.3,988.3,4849664,153.1,153.1,5.96e-04,0.1950,fp8_tensorwise,1.5B,32,2,64,1564837888,1
75,10.8937,,53834.08,,66295,988.5,988.5,4915200,154.1,154.1,5.96e-04,0.1930,fp8_tensorwise,1.5B,32,2,64,1564837888,1
76,10.8940,,53850.48,,66302,988.4,988.4,4980736,155.0,155.0,5.96e-04,0.1938,fp8_tensorwise,1.5B,32,2,64,1564837888,1
77,10.8960,,53960.37,,66098,991.5,991.5,5046272,156.0,156.0,5.96e-04,0.1928,fp8_tensorwise,1.5B,32,2,64,1564837888,1
78,10.8968,,54002.87,,66247,989.3,989.3,5111808,157.0,157.0,5.95e-04,0.1938,fp8_tensorwise,1.5B,32,2,64,1564837888,1
79,10.8973,,54032.33,,65850,995.2,995.2,5177344,158.0,158.0,5.95e-04,0.1939,fp8_tensorwise,1.5B,32,2,64,1564837888,1
