step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
86,7.7768,,2384.62,,4592,7135.9,7135.9,2818048,617.1,617.0,2.58e-04,0.7280,bf16,1.5B,32,1564837888
87,7.6516,,2104.04,,4593,7133.8,7133.8,2850816,624.2,624.2,2.61e-04,0.9543,bf16,1.5B,32,1564837888
88,7.7445,,2308.76,,4586,7145.0,7145.0,2883584,631.3,631.3,2.64e-04,0.7373,bf16,1.5B,32,1564837888
89,7.6393,,2078.39,,4575,7162.9,7162.9,2916352,638.5,638.5,2.67e-04,0.6254,bf16,1.5B,32,1564837888
90,7.6275,,2053.90,,4585,7146.9,7146.9,2949120,645.7,645.6,2.70e-04,0.9356,bf16,1.5B,32,1564837888
91,7.7099,,2230.38,,4583,7149.2,7149.2,2981888,652.8,652.8,2.73e-04,1.0125,bf16,1.5B,32,1564837888
92,7.7034,,2215.94,,4599,7125.4,7125.4,3014656,659.9,659.9,2.76e-04,0.7954,bf16,1.5B,32,1564837888
93,7.8471,,2558.39,,4590,7138.7,7138.7,3047424,667.1,667.0,2.79e-04,0.8366,bf16,1.5B,32,1564837888
94,7.8010,,2443.05,,4557,7190.5,7190.5,3080192,674.3,674.2,2.82e-04,1.1613,bf16,1.5B,32,1564837888
95,7.9051,,2711.20,,4577,7160.0,7160.0,3112960,681.4,681.4,2.85e-04,1.2151,bf16,1.5B,32,1564837888
96,8.1020,,3301.21,,4587,7144.3,7144.3,3145728,688.6,688.5,2.88e-04,1.9620,bf16,1.5B,32,1564837888
97,7.7852,,2404.79,,4583,7150.6,7150.6,3178496,695.7,695.7,2.91e-04,0.7953,bf16,1.5B,32,1564837888
98,7.7224,,2258.29,,4612,7105.0,7105.0,3211264,702.8,702.8,2.94e-04,0.8413,bf16,1.5B,32,1564837888
99,8.0379,,3096.12,,4578,7157.8,7157.8,3244032,710.0,709.9,2.97e-04,26.0260,bf16,1.5B,32,1564837888
100,7.8912,,2673.76,,4585,7146.6,7146.6,3276800,717.1,717.1,3.00e-04,1.7213,bf16,1.5B,32,1564837888
101,7.7714,,2371.81,,4597,7128.2,7128.2,3309568,724.3,724.2,3.03e-04,1.7090,bf16,1.5B,32,1564837888
