step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
81,6.8905,,982.92,,292837,6713.9,6713.9,159252480,559.0,559.0,3.00e-04,2.0438,fp8_tensorwise,250M,80,24,1920,265450496
82,6.9712,,1065.48,,292758,6715.7,6715.7,161218560,565.7,565.7,3.00e-04,2.0144,fp8_tensorwise,250M,80,24,1920,265450496
83,6.8261,,921.63,,292814,6714.4,6714.4,163184640,572.4,572.4,3.00e-04,1.4262,fp8_tensorwise,250M,80,24,1920,265450496
84,6.9035,,995.78,,292434,6723.2,6723.2,165150720,579.1,579.1,3.00e-04,1.2752,fp8_tensorwise,250M,80,24,1920,265450496
85,6.8868,,979.24,,293261,6704.2,6704.2,167116800,585.8,585.8,3.00e-04,2.3614,fp8_tensorwise,250M,80,24,1920,265450496
86,6.8776,,970.29,,293011,6709.9,6709.9,169082880,592.5,592.5,3.00e-04,1.7492,fp8_tensorwise,250M,80,24,1920,265450496
87,6.9335,,1026.09,,293199,6705.6,6705.6,171048960,599.2,599.2,3.00e-04,0.8160,fp8_tensorwise,250M,80,24,1920,265450496
88,6.8655,,958.63,,292786,6715.1,6715.1,173015040,605.9,605.9,3.00e-04,1.3923,fp8_tensorwise,250M,80,24,1920,265450496
89,6.8734,,966.22,,292989,6710.4,6710.4,174981120,612.7,612.6,3.00e-04,1.1758,fp8_tensorwise,250M,80,24,1920,265450496
90,6.9080,,1000.25,,292969,6710.9,6710.9,176947200,619.4,619.4,3.00e-04,0.6796,fp8_tensorwise,250M,80,24,1920,265450496
91,6.8800,,972.67,,293027,6709.6,6709.6,178913280,626.1,626.1,3.00e-04,0.8862,fp8_tensorwise,250M,80,24,1920,265450496
92,6.7622,,864.50,,292966,6711.0,6711.0,180879360,632.8,632.8,3.00e-04,0.8507,fp8_tensorwise,250M,80,24,1920,265450496
93,6.7763,,876.81,,292549,6720.5,6720.5,182845440,639.5,639.5,3.00e-04,0.5591,fp8_tensorwise,250M,80,24,1920,265450496
94,6.7103,,820.83,,292325,6725.7,6725.7,184811520,646.2,646.2,3.00e-04,0.6184,fp8_tensorwise,250M,80,24,1920,265450496
95,6.7576,,860.59,,292465,6722.4,6722.4,186777600,653.0,652.9,3.00e-04,0.5524,fp8_tensorwise,250M,80,24,1920,265450496
96,6.7692,,870.57,,292117,6730.5,6730.5,188743680,659.7,659.7,3.00e-04,0.6547,fp8_tensorwise,250M,80,24,1920,265450496
97,6.7478,,852.18,,292099,6730.9,6730.9,190709760,666.4,666.4,3.00e-04,0.4524,fp8_tensorwise,250M,80,24,1920,265450496
98,6.7246,,832.62,,292176,6729.1,6729.1,192675840,673.1,673.1,3.00e-04,0.4883,fp8_tensorwise,250M,80,24,1920,265450496
99,6.7108,,821.19,,291670,6740.8,6740.8,194641920,679.9,679.9,3.00e-04,0.5619,fp8_tensorwise,250M,80,24,1920,265450496
100,6.6339,,760.48,,292155,6729.6,6729.6,196608000,686.6,686.6,3.00e-04,0.5083,fp8_tensorwise,250M,80,24,1920,265450496
101,6.6339,,760.47,,292073,6731.5,6731.5,198574080,693.3,693.3,3.00e-04,0.5453,fp8_tensorwise,250M,80,24,1920,265450496
102,6.7399,,845.49,,282347,6963.4,6963.4,200540160,700.3,700.3,3.00e-04,0.6264,fp8_tensorwise,250M,80,24,1920,265450496
103,6.6385,,763.94,,292254,6727.3,6727.3,202506240,707.0,707.0,3.00e-04,0.6959,fp8_tensorwise,250M,80,24,1920,265450496
104,6.6343,,760.73,,292122,6730.3,6730.3,204472320,713.8,713.8,3.00e-04,1.5514,fp8_tensorwise,250M,80,24,1920,265450496
105,6.6374,,763.10,,292201,6728.5,6728.5,206438400,720.5,720.5,3.00e-04,0.5580,fp8_tensorwise,250M,80,24,1920,265450496
106,6.6532,,775.24,,292124,6730.3,6730.3,208404480,727.2,727.2,3.00e-04,0.6248,fp8_tensorwise,250M,80,24,1920,265450496
107,6.6633,,783.16,,292237,6727.7,6727.7,210370560,734.0,733.9,3.00e-04,0.9977,fp8_tensorwise,250M,80,24,1920,265450496
108,6.6454,,769.22,,291695,6740.2,6740.2,212336640,740.7,740.7,3.00e-04,1.2185,fp8_tensorwise,250M,80,24,1920,265450496
109,6.6127,,744.51,,291405,6746.9,6746.9,214302720,747.4,747.4,3.00e-04,1.1004,fp8_tensorwise,250M,80,24,1920,265450496
110,6.5689,,712.61,,292028,6732.5,6732.5,216268800,754.2,754.2,3.00e-04,0.6358,fp8_tensorwise,250M,80,24,1920,265450496
111,6.5365,,689.86,,291851,6736.6,6736.6,218234880,760.9,760.9,3.00e-04,0.6300,fp8_tensorwise,250M,80,24,1920,265450496
112,6.4733,,647.65,,292309,6726.0,6726.0,220200960,767.6,767.6,3.00e-04,0.7839,fp8_tensorwise,250M,80,24,1920,265450496
113,6.5441,,695.13,,291809,6737.6,6737.6,222167040,774.4,774.4,3.00e-04,0.7445,fp8_tensorwise,250M,80,24,1920,265450496
114,6.5119,,673.08,,292045,6732.1,6732.1,224133120,781.1,781.1,3.00e-04,1.2742,fp8_tensorwise,250M,80,24,1920,265450496
115,6.5088,,671.01,,292165,6729.4,6729.4,226099200,787.8,787.8,3.00e-04,0.7969,fp8_tensorwise,250M,80,24,1920,265450496
116,6.5226,,680.37,,291975,6733.7,6733.7,228065280,794.6,794.6,3.00e-04,0.5229,fp8_tensorwise,250M,80,24,1920,265450496
117,6.4890,,657.89,,292207,6728.4,6728.4,230031360,801.3,801.3,3.00e-04,1.0130,fp8_tensorwise,250M,80,24,1920,265450496
118,6.6128,,744.58,,291724,6739.5,6739.5,231997440,808.0,808.0,3.00e-04,1.6622,fp8_tensorwise,250M,80,24,1920,265450496
119,6.4997,,664.94,,292182,6729.0,6729.0,233963520,814.8,814.8,3.00e-04,1.0464,fp8_tensorwise,250M,80,24,1920,265450496
120,6.4332,,622.18,,292149,6729.7,6729.7,235929600,821.5,821.5,3.00e-04,1.6937,fp8_tensorwise,250M,80,24,1920,265450496
121,6.4423,,627.83,,291993,6733.3,6733.3,237895680,828.2,828.2,3.00e-04,1.1397,fp8_tensorwise,250M,80,24,1920,265450496
122,6.5220,,679.95,,291735,6739.3,6739.3,239861760,835.0,835.0,3.00e-04,1.2618,fp8_tensorwise,250M,80,24,1920,265450496
123,6.4220,,615.23,,292296,6726.3,6726.3,241827840,841.7,841.7,3.00e-04,1.2184,fp8_tensorwise,250M,80,24,1920,265450496
124,6.4834,,654.17,,292142,6729.9,6729.9,243793920,848.4,848.4,3.00e-04,1.0494,fp8_tensorwise,250M,80,24,1920,265450496
125,6.5062,,669.27,,292163,6729.4,6729.4,245760000,855.2,855.1,3.00e-04,1.0393,fp8_tensorwise,250M,80,24,1920,265450496
126,6.4244,,616.72,,292070,6731.5,6731.5,247726080,861.9,861.9,3.00e-04,0.9236,fp8_tensorwise,250M,80,24,1920,265450496
127,6.4790,,651.33,,291732,6739.3,6739.3,249692160,868.6,868.6,2.99e-04,1.3037,fp8_tensorwise,250M,80,24,1920,265450496
128,6.4658,,642.80,,292129,6730.2,6730.2,251658240,875.4,875.4,2.99e-04,1.5808,fp8_tensorwise,250M,80,24,1920,265450496
129,6.4352,,623.41,,292048,6732.0,6732.0,253624320,882.1,882.1,2.99e-04,0.6225,fp8_tensorwise,250M,80,24,1920,265450496
130,6.4297,,619.96,,292183,6728.9,6728.9,255590400,888.8,888.8,2.99e-04,1.3487,fp8_tensorwise,250M,80,24,1920,265450496
131,6.3952,,598.93,,292178,6729.0,6729.0,257556480,895.5,895.5,2.99e-04,0.8371,fp8_tensorwise,250M,80,24,1920,265450496
132,6.4655,,642.57,,291641,6741.4,6741.4,259522560,902.3,902.3,2.99e-04,0.6791,fp8_tensorwise,250M,80,24,1920,265450496
133,6.3854,,593.09,,291792,6737.9,6737.9,261488640,909.0,909.0,2.99e-04,0.7573,fp8_tensorwise,250M,80,24,1920,265450496
134,6.4004,,602.07,,292215,6728.2,6728.2,263454720,915.8,915.7,2.99e-04,1.0643,fp8_tensorwise,250M,80,24,1920,265450496
135,6.3854,,593.12,,291939,6734.6,6734.6,265420800,922.5,922.5,2.99e-04,0.5872,fp8_tensorwise,250M,80,24,1920,265450496
136,6.3926,,597.43,,291789,6738.0,6738.0,267386880,929.2,929.2,2.99e-04,0.4997,fp8_tensorwise,250M,80,24,1920,265450496
137,6.3334,,563.06,,292085,6731.2,6731.2,269352960,936.0,936.0,2.99e-04,0.5868,fp8_tensorwise,250M,80,24,1920,265450496
138,6.2235,,504.45,,292164,6729.4,6729.4,271319040,942.7,942.7,2.99e-04,0.4893,fp8_tensorwise,250M,80,24,1920,265450496
139,6.2940,,541.29,,292249,6727.4,6727.4,273285120,949.4,949.4,2.99e-04,0.7640,fp8_tensorwise,250M,80,24,1920,265450496
140,6.2304,,507.98,,292030,6732.5,6732.5,275251200,956.1,956.1,2.99e-04,0.5417,fp8_tensorwise,250M,80,24,1920,265450496
141,6.2790,,533.23,,291788,6738.1,6738.1,277217280,962.9,962.9,2.99e-04,0.3631,fp8_tensorwise,250M,80,24,1920,265450496
142,6.2873,,537.70,,292100,6730.8,6730.8,279183360,969.6,969.6,2.99e-04,0.5945,fp8_tensorwise,250M,80,24,1920,265450496
143,6.3004,,544.77,,292134,6730.1,6730.1,281149440,976.3,976.3,2.99e-04,0.4615,fp8_tensorwise,250M,80,24,1920,265450496
144,6.2240,,504.72,,292124,6730.3,6730.3,283115520,983.1,983.1,2.99e-04,0.4110,fp8_tensorwise,250M,80,24,1920,265450496
145,6.1844,,485.13,,292146,6729.8,6729.8,285081600,989.8,989.8,2.99e-04,0.4551,fp8_tensorwise,250M,80,24,1920,265450496
146,6.2324,,508.96,,292107,6730.7,6730.7,287047680,996.5,996.5,2.99e-04,0.8005,fp8_tensorwise,250M,80,24,1920,265450496
147,6.2315,,508.51,,291972,6733.8,6733.8,289013760,1003.3,1003.3,2.99e-04,1.6386,fp8_tensorwise,250M,80,24,1920,265450496
148,6.2604,,523.41,,292391,6724.1,6724.1,290979840,1010.0,1010.0,2.99e-04,1.1606,fp8_tensorwise,250M,80,24,1920,265450496
149,6.2804,,534.01,,292121,6730.4,6730.4,292945920,1016.7,1016.7,2.99e-04,1.8020,fp8_tensorwise,250M,80,24,1920,265450496
150,6.1987,,492.11,,292092,6731.0,6731.0,294912000,1023.5,1023.4,2.99e-04,1.0049,fp8_tensorwise,250M,80,24,1920,265450496
151,6.2366,,511.11,,292162,6729.4,6729.4,296878080,1030.2,1030.2,2.99e-04,3.1584,fp8_tensorwise,250M,80,24,1920,265450496
152,6.2584,,522.41,,292807,6714.6,6714.6,298844160,1036.9,1036.9,2.99e-04,1.9750,fp8_tensorwise,250M,80,24,1920,265450496
