step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
157,7.5792,,1957.14,,4890,6700.4,6700.4,5144576,1027.3,1027.3,4.71e-04,1.0087,fp8_tensorwise,1.5B,32,1564837888
158,7.6170,,2032.46,,3963,8267.9,8267.9,5177344,1035.6,1035.5,4.74e-04,1.3027,fp8_tensorwise,1.5B,32,1564837888
159,7.5029,,1813.20,,4389,7466.7,7466.7,5210112,1043.0,1043.0,4.77e-04,1.6379,fp8_tensorwise,1.5B,32,1564837888
160,7.6763,,2156.64,,4477,7319.2,7319.2,5242880,1050.4,1050.3,4.80e-04,1.1934,fp8_tensorwise,1.5B,32,1564837888
161,7.6103,,2018.84,,3978,8238.1,8238.1,5275648,1058.6,1058.5,4.83e-04,0.7439,fp8_tensorwise,1.5B,32,1564837888
162,7.6382,,2076.01,,4857,6746.1,6746.1,5308416,1065.4,1065.3,4.86e-04,1.0768,fp8_tensorwise,1.5B,32,1564837888
163,7.5581,,1916.29,,3941,8315.0,8315.0,5341184,1073.7,1073.6,4.89e-04,0.9427,fp8_tensorwise,1.5B,32,1564837888
164,7.5724,,1943.86,,4583,7150.0,7150.0,5373952,1080.8,1080.8,4.92e-04,0.8258,fp8_tensorwise,1.5B,32,1564837888
165,7.6696,,2142.13,,4165,7868.1,7868.1,5406720,1088.7,1088.6,4.95e-04,1.3479,fp8_tensorwise,1.5B,32,1564837888
166,7.5731,,1945.16,,4077,8038.0,8038.0,5439488,1096.7,1096.7,4.98e-04,1.1670,fp8_tensorwise,1.5B,32,1564837888
167,7.5439,,1889.13,,5012,6537.5,6537.5,5472256,1103.3,1103.2,5.01e-04,0.9272,fp8_tensorwise,1.5B,32,1564837888
168,7.5981,,1994.45,,3911,8378.8,8378.8,5505024,1111.6,1111.6,5.04e-04,0.7100,fp8_tensorwise,1.5B,32,1564837888
169,7.5214,,1847.11,,4119,7955.5,7955.5,5537792,1119.6,1119.5,5.07e-04,0.8490,fp8_tensorwise,1.5B,32,1564837888
170,7.7923,,2421.94,,4259,7693.5,7693.5,5570560,1127.3,1127.2,5.10e-04,1.2845,fp8_tensorwise,1.5B,32,1564837888
171,7.5752,,1949.25,,5379,6091.7,6091.7,5603328,1133.4,1133.3,5.13e-04,0.7572,fp8_tensorwise,1.5B,32,1564837888
172,7.4207,,1670.22,,5352,6122.9,6122.9,5636096,1139.5,1139.4,5.16e-04,0.8873,fp8_tensorwise,1.5B,32,1564837888
173,7.7931,,2423.87,,5389,6080.8,6080.8,5668864,1145.6,1145.5,5.19e-04,0.9851,fp8_tensorwise,1.5B,32,1564837888
174,7.4831,,1777.70,,5397,6071.2,6071.2,5701632,1151.7,1151.6,5.22e-04,0.6906,fp8_tensorwise,1.5B,32,1564837888
175,7.5274,,1858.21,,5409,6057.6,6057.6,5734400,1157.7,1157.7,5.25e-04,0.7647,fp8_tensorwise,1.5B,32,1564837888
176,7.5089,,1824.19,,5386,6083.5,6083.5,5767168,1163.8,1163.7,5.28e-04,0.8821,fp8_tensorwise,1.5B,32,1564837888
177,7.4334,,1691.62,,5367,6105.9,6105.9,5799936,1169.9,1169.8,5.31e-04,1.0979,fp8_tensorwise,1.5B,32,1564837888
178,7.5244,,1852.64,,5426,6039.0,6039.0,5832704,1176.0,1175.9,5.34e-04,0.7947,fp8_tensorwise,1.5B,32,1564837888
